No of commenced toilet photo,No of Application verified, No of application Approved, No of application pullback, No of application not verified, No of application pullback,No. of Constructed Toilet Photo through Swachhalaya,ULB,No. of Constructed Toilet Photo	No. of Commenced Toilet Photo,No. of Applications Received,District, No. of Applications Approved having Aadhar No,lambda,State
341,691,691,12,0,3,51,Atrauliya (NP),232,Azamgarh,1054,687,348,Uttar Pradesh
996,2167,2121,18,228,55,17,Azamgarh (NPP),647,Azamgarh,4642,1754,2174,Uttar Pradesh
549,708,708,4,119,109,4,Azmatgarh (NP),145,Azamgarh,2111,681,1171,Uttar Pradesh
15,405,405,1,76,1,2,Bilariaganj (NP),394,Azamgarh,1674,108,1191,Uttar Pradesh
183,804,804,2,3,48,2,Jiyanpur (NP),621,Azamgarh,1888,683,1031,Uttar Pradesh
258,701,478,10,132,33,13,Katghar Lalganj (NP),190,Azamgarh,3872,280,2996,Uttar Pradesh
53,402,402,0,0,2,3,Mahrajganj (NP),353,Azamgarh,1171,354,767,Uttar Pradesh
448,642,635,1,4,9,1,Mahul(NP),84,Azamgarh,693,632,37,Uttar Pradesh
552,1171,1164,9,77,810,13,Mehnagar (NP),432,Azamgarh,3843,1118,1776,Uttar Pradesh
790,1633,1094,11,1089,41,11,Mubarakpur (NPP),293,Azamgarh,3879,1037,1105,Uttar Pradesh
280,844,844,2,65,12,3,Nizamabad (NP),467,Azamgarh,1262,468,339,Uttar Pradesh
30,258,258,2,89,100,2,Phulpur (NP),189,Azamgarh,837,126,388,Uttar Pradesh
264,630,630,2,240,1,0,Sarai Mir (NP),179,Azamgarh,927,623,54,Uttar Pradesh
89,555,555,6,202,1,0,Agarwal Mandi (Tatiri) (NP),123,Baghpat,998,480,234,Uttar Pradesh
21,403,354,3,314,0,0,Aminagar Sarai (NP),196,Baghpat,1340,222,620,Uttar Pradesh
281,437,416,8,56,4,5,Baghpat (NPP),129,Baghpat,1791,394,1286,Uttar Pradesh
175,837,836,1,2,2,1,Baraut (NPP),189,Baghpat,2310,639,1468,Uttar Pradesh
30,490,490,0,5,0,2,Chhaprauli (NP),158,Baghpat,1527,35,1032,Uttar Pradesh
46,187,186,0,103,0,0,Doghat (NP),120,Baghpat,838,183,548,Uttar Pradesh
24,185,72,2,118,0,2,Khekada (NP),56,Baghpat,598,55,293,Uttar Pradesh
106,322,318,1,145,0,0,Tikri (NP),30,Baghpat,660,313,192,Uttar Pradesh
917,2799,2253,35,1149,76,46,Bahraich (NPP),482,Bahraich,7933,2096,3874,Uttar Pradesh
113,716,700,2,19,0,1,Jarwal (NP),230,Bahraich,3014,669,2277,Uttar Pradesh
183,1386,915,11,1550,1,5,Nanpara (NPP),347,Bahraich,6968,262,4020,Uttar Pradesh
87,1086,718,2,510,7,7,Risiya Bazar (NP),224,Bahraich,2968,473,1363,Uttar Pradesh
149,1553,1500,20,1203,109,31,Ballia (NPP),380,Ballia,9053,1283,6168,Uttar Pradesh
141,1169,810,9,654,919,6,Bansdih (NP),24,Ballia,4534,785,1783,Uttar Pradesh
0,0,0,0,0,0,0,Bariya (NP),0,Ballia,0,0,0,Uttar Pradesh
14,500,498,1,583,491,2,Belthara Road (NP),104,Ballia,2793,95,1218,Uttar Pradesh
28,1168,1080,2,52,36,0,Chitbara Gaon (NP),37,Ballia,2812,833,1554,Uttar Pradesh
16,2319,673,3,70,377,0,Maniyar (NP),2,Ballia,3979,565,1210,Uttar Pradesh
9,1093,662,6,32,125,3,Rasra (NPP),16,Ballia,4066,615,2810,Uttar Pradesh
8,1608,1083,7,374,488,1,Reoti (NP),13,Ballia,2977,856,500,Uttar Pradesh
227,681,652,0,31,16,0,Sahatwar (NP),8,Ballia,1144,1,416,Uttar Pradesh
139,1336,1318,6,298,4220,2,Sikanderpur (NP),12,Ballia,7129,1204,1269,Uttar Pradesh
289,2007,1984,3,296,2,3,Balrampur (NPP),562,Balrampur,3723,1905,1415,Uttar Pradesh
826,960,960,11,302,8,17,Pachperwa (NP),643,Balrampur,4013,923,2732,Uttar Pradesh
219,426,426,14,39,11,4,Tulsipur (NP),378,Balrampur,3988,315,3498,Uttar Pradesh
61,471,466,13,20,10,3,Utraula (NPP),515,Balrampur,1452,254,938,Uttar Pradesh
329,2896,2896,16,30,7,14,Atarra (NPP),966,Banda,4082,2548,1133,Uttar Pradesh
21,841,841,8,65,4,8,Baberu (NP),214,Banda,2124,352,1206,Uttar Pradesh
957,5221,4681,58,829,85,23,Banda (NPP),2208,Banda,9970,3194,3777,Uttar Pradesh
80,1151,1107,9,501,15,2,Bisanda Buzurg (NP),155,Banda,2921,967,1245,Uttar Pradesh
5,1018,1018,1,1,25,0,Mataundh (NP),284,Banda,2115,514,1070,Uttar Pradesh
8,1014,1014,5,30,114,3,Naraini (NP),347,Banda,1933,111,770,Uttar Pradesh
52,1587,1587,1,8,276,1,Oran (NP),293,Banda,2578,1390,706,Uttar Pradesh
3,1434,994,5,53,2,8,Tindwari (NP),386,Banda,3379,80,1885,Uttar Pradesh
118,498,498,2,110,9,7,Banki (NP),116,Bara Banki,1849,432,1230,Uttar Pradesh
0,0,0,0,0,0,0,Belhara (NP),0,Bara Banki,0,0,0,Uttar Pradesh
494,1173,1168,2,117,8,1,Dariyabad (NP),500,Bara Banki,2074,956,774,Uttar Pradesh
266,811,811,8,20,29,25,Dewa (NP),187,Bara Banki,2308,793,1440,Uttar Pradesh
393,1404,1321,2,19,8,189,Fatehpur (NP),561,Bara Banki,2623,1008,1190,Uttar Pradesh
13,354,352,3,110,2,126,Haidergarh (NP),168,Bara Banki,2246,333,1777,Uttar Pradesh
111,1051,725,9,1663,5,80,Nawabganj (NPP),142,Bara Banki,4506,655,1778,Uttar Pradesh
45,736,729,12,403,6,7,Ramnagar (NP),157,Bara Banki,2285,692,1128,Uttar Pradesh
55,596,385,1,104,2,7,Satrikh (NP),112,Bara Banki,1673,291,970,Uttar Pradesh
178,1686,1153,4,122,1,52,Siddhaur (NP),103,Bara Banki,2928,1028,1115,Uttar Pradesh
138,1251,1251,0,17,40,10,Subeha (NP),228,Bara Banki,1903,1158,595,Uttar Pradesh
123,605,605,1,59,20,6,Tikait Nagar (NP),50,Bara Banki,962,488,277,Uttar Pradesh
267,1714,1005,11,150,12,21,Zaidpur (NP),292,Bara Banki,2691,909,804,Uttar Pradesh
92,1322,1321,18,53,25,7,Aonla (NPP),592,Bareilly,2583,1071,1165,Uttar Pradesh
69,853,853,1,1,1,11,Baheri (NPP),626,Bareilly,1920,595,1064,Uttar Pradesh
0,0,0,1,14,0,0,Bareilly (CB),0,Bareilly,15,0,0,Uttar Pradesh
736,7863,7836,30,1274,1171,33,Bareilly (M Corp.),4479,Bareilly,20190,6657,9852,Uttar Pradesh
150,909,909,0,1,13,0,Bisharatganj (NP),495,Bareilly,1671,780,748,Uttar Pradesh
7,329,236,6,983,14,3,Deoranian (NP),110,Bareilly,2482,216,1150,Uttar Pradesh
72,255,255,4,129,0,0,Dhaura Tanda (NP),81,Bareilly,1653,248,1265,Uttar Pradesh
103,404,404,4,282,78,2,Faridpur (NP),119,Bareilly,1294,400,526,Uttar Pradesh
145,1257,1225,3,195,1537,2,Faridpur (NPP),447,Bareilly,4061,1109,1069,Uttar Pradesh
178,703,703,4,0,3,1,Fatehganj Pashchimi (NP),262,Bareilly,2161,630,1451,Uttar Pradesh
22,224,211,0,356,2,2,Fatehganj Purvi (NP),27,Bareilly,1462,190,880,Uttar Pradesh
70,838,821,4,180,17,5,Mirganj (NP),122,Bareilly,3047,664,2008,Uttar Pradesh
27,131,112,1,1980,12,0,Nawabganj (NPP),3,Bareilly,10815,104,8691,Uttar Pradesh
176,236,236,8,37,6,4,Richha (NP),67,Bareilly,1935,233,1648,Uttar Pradesh
91,625,619,2,5,12,1,Rithora (NP),129,Bareilly,1520,598,876,Uttar Pradesh
69,606,606,1,40,0,1,Sainthal (NP),109,Bareilly,1660,511,1013,Uttar Pradesh
67,441,441,0,0,1,0,Shahi (NP),119,Bareilly,927,437,485,Uttar Pradesh
351,779,779,21,71,7,0,Shergarh (NP),303,Bareilly,2415,733,1537,Uttar Pradesh
115,589,586,0,27,2,0,Shishgarh (NP),317,Bareilly,1748,558,1130,Uttar Pradesh
188,554,554,3,16,22,3,Sirauli (NP),119,Bareilly,1218,529,623,Uttar Pradesh
25,75,73,0,7,0,0,Thiriya Nizamat Khan (NP),25,Bareilly,166,69,84,Uttar Pradesh
0,0,0,0,0,0,0,Bankati (NP),0,Basti,0,0,0,Uttar Pradesh
678,2925,2469,18,477,24,29,Basti (NPP),679,Basti,6301,1742,2857,Uttar Pradesh
39,1147,1014,3,501,13,8,Bhabnan Bazar (NP),273,Basti,5098,425,3434,Uttar Pradesh
18,307,301,3,131,4,6,Harraiya (NP),22,Basti,1966,257,1521,Uttar Pradesh
11,1133,951,7,835,389,4,Rudhauli Bazar(NP),67,Basti,2437,894,73,Uttar Pradesh
242,2284,2273,15,5239,730,13,Bhadohi (NPP),208,Bhadohi,20794,1419,12526,Uttar Pradesh
786,915,816,9,1477,1,20,Ghosia Bazar (NP),130,Bhadohi,7990,601,5588,Uttar Pradesh
517,714,713,8,1015,80,59,Gopiganj (NPP),75,Bhadohi,7952,435,6135,Uttar Pradesh
109,624,620,7,1634,113,29,Gyanpur (NP),88,Bhadohi,7451,579,5073,Uttar Pradesh
257,1191,1191,9,899,39,22,Khamaria (NP),157,Bhadohi,7330,949,5192,Uttar Pradesh
116,551,551,2,155,6,9,Nai Bazar (NP),123,Bhadohi,3316,446,2602,Uttar Pradesh
41,1170,1170,8,419,38,3,Suriyawan (NP),346,Bhadohi,3526,828,1891,Uttar Pradesh
0,339,339,0,14,24,0,Bageshwar (NPP),334,Bageshwar,667,181,290,Uttarakhand
5,304,304,0,0,0,0,Kapkot (NP),266,Bageshwar,348,86,44,Uttarakhand
0,0,0,0,0,0,0,Badrinathpuri (NP),0,Chamoli Gopeshwar,1,0,1,Uttarakhand
3,409,301,0,93,1,0,Chamoli Gopeshwar (NPP),302,Chamoli Gopeshwar,503,18,0,Uttarakhand
0,216,214,0,10,1,0,Gairsain,147,Chamoli Gopeshwar,234,9,7,Uttarakhand
7,115,112,0,0,10,0,Gochar (NP),103,Chamoli Gopeshwar,141,74,16,Uttarakhand
1,357,225,0,0,1,0,Joshimath (MB),103,Chamoli Gopeshwar,359,17,1,Uttarakhand
3,319,319,0,0,6,0,Karnaprayag (NP),254,Chamoli Gopeshwar,325,2,0,Uttarakhand
0,64,64,0,6,0,0,Nandprayag (NP),9,Chamoli Gopeshwar,70,19,0,Uttarakhand
0,0,0,0,0,0,0,Pipalkoti (NP),0,Chamoli Gopeshwar,0,0,0,Uttarakhand
13,235,133,3,200,21,0,Pokhari,63,Chamoli Gopeshwar,481,5,22,Uttarakhand
0,0,0,0,0,0,0,THARALI (NP),0,Chamoli Gopeshwar,0,0,0,Uttarakhand
0,0,0,0,1,0,0,Chakrata (CB),0,Dehradun,1,0,0,Uttarakhand
0,0,0,0,0,0,0,Clement Town (CB),0,Dehradun,0,0,0,Uttarakhand
0,0,0,0,2,0,0,Dehradun (CB),0,Dehradun,2,0,0,Uttarakhand
4,1547,1547,0,1,1,0,Dehradun (M.Corp),689,Dehradun,2354,111,805,Uttarakhand
0,40,40,0,3,0,1,Doiwala (NP),31,Dehradun,44,20,1,Uttarakhand
1,95,95,1,9,3,0,Herbertpur (NP),84,Dehradun,109,62,1,Uttarakhand
0,0,0,0,0,0,0,Landaur (CB),0,Dehradun,0,0,0,Uttarakhand
0,21,21,0,0,0,0,Mussoorie (NPP),15,Dehradun,22,21,1,Uttarakhand
2,86,79,0,6,1,2,Rishikesh (NPP),50,Dehradun,133,0,40,Uttarakhand
0,134,134,0,0,0,0,SELAQUI (HOPETOWN) (NP),0,Dehradun,134,134,0,Uttarakhand
3,75,73,1,21,0,0,Vikasnagar (NPP),57,Dehradun,108,13,11,Uttarakhand
1,29,29,0,3,0,0,Dogadda (NPP),25,Garhwal,32,9,0,Uttarakhand
4,89,84,0,190,0,0,Kotdwara (NPP),14,Garhwal,279,78,0,Uttarakhand
0,0,0,0,1,0,0,Lansdowne (CB),0,Garhwal,1,0,0,Uttarakhand
0,150,150,0,2,0,0,Pauri (NPP),152,Garhwal,162,145,10,Uttarakhand
0,33,33,0,0,0,0,Satpuli (NP),1,Garhwal,158,30,125,Uttarakhand
0,124,124,0,0,0,0,Srinagar (NPP),104,Garhwal,124,66,0,Uttarakhand
0,0,0,0,0,0,0,Swargashram Jonk,0,Garhwal,0,0,0,Uttarakhand
3,866,214,1,21,0,4,Bhagwanpur (NP),217,Hardwar,1397,5,509,Uttarakhand
4,557,557,1,3,50,1,Hardwar (NPP),553,Hardwar,621,301,10,Uttarakhand
1,941,941,0,74,0,1,Jhabrera (NP),324,Hardwar,1015,701,0,Uttarakhand
34,249,249,0,180,5,2,Laksar (NP),27,Hardwar,438,1,4,Uttarakhand
3,97,97,0,5,0,0,Landhaura (NP),75,Hardwar,102,1,0,Uttarakhand
1,92,92,1,10,0,0,Manglaur (NPP),47,Hardwar,359,65,256,Uttarakhand
0,7,0,0,298,0,1,PIRAN KALIYAR (NP),0,Hardwar,305,0,0,Uttarakhand
0,0,0,0,1,0,1,Roorkee (CB),0,Hardwar,1,0,0,Uttarakhand
0,369,369,0,14,0,0,Roorkee (NPP),44,Hardwar,411,246,28,Uttarakhand
0,0,0,0,2,1,0,Shivalik Nagar,0,Hardwar,3,0,0,Uttarakhand
0,21,21,0,1,1,0,Bhimtal (NP),0,Nainital,23,20,0,Uttarakhand
0,4,3,0,199,0,0,Bhowali (NPP),0,Nainital,203,0,0,Uttarakhand
310,1118,903,0,853,1,0,Haldwani-cum-Kathgodam (NPP),20,Nainital,2017,8,45,Uttarakhand
27,222,215,0,67,0,0,Kaladhungi (NP),147,Nainital,292,149,3,Uttarakhand
0,47,47,0,2,0,0,Lalkuan (NP),27,Nainital,49,0,0,Uttarakhand
0,0,0,0,2,0,0,Nainital (CB),0,Nainital,2,0,0,Uttarakhand
0,94,50,0,15,0,0,Nainital (NPP),0,Nainital,111,30,2,Uttarakhand
2,174,150,0,24,35,0,Ramnagar (NPP),96,Nainital,255,0,22,Uttarakhand
0,187,187,0,1,89,0,Berinag (NP),0,Pithoragarh,280,187,3,Uttarakhand
17,76,30,0,132,0,0,Dharchula (NP),11,Pithoragarh,215,4,7,Uttarakhand
1,199,190,0,49,1,0,Didihat (NP),41,Pithoragarh,261,53,12,Uttarakhand
0,300,300,7,23,0,0,Gangolihat (NP),2,Pithoragarh,455,99,125,Uttarakhand
15,278,278,0,212,65,1,Pithoragarh (NPP),205,Pithoragarh,555,65,0,Uttarakhand
0,43,43,0,0,1,0,Augustmuni,43,Rudraprayag,46,19,2,Uttarakhand
0,0,0,0,0,0,0,Kedarnath (NP),0,Rudraprayag,0,0,0,Uttarakhand
17,94,68,0,1,0,0,Rudraprayag (NPP),37,Rudraprayag,98,55,3,Uttarakhand
0,19,19,0,0,0,0,Tilwara (NP),0,Rudraprayag,19,19,0,Uttarakhand
0,2,2,0,0,0,0,Ukhimath,0,Rudraprayag,2,2,0,Uttarakhand
0,11,11,0,0,1,0,Chamba (NP),11,Tehri,12,11,0,Uttarakhand
0,53,53,0,0,0,0,Chamiyala (NP),0,Tehri,53,53,0,Uttarakhand
2,103,103,0,2,0,52,Devaprayag (NP),67,Tehri,126,0,21,Uttarakhand
0,0,0,0,0,0,0,GAJA (NP),0,Tehri,0,0,0,Uttarakhand
0,9,9,0,0,2,0,Ghansali (NP),0,Tehri,11,9,0,Uttarakhand
1,36,36,0,0,1,35,Kirtinagar (NP),40,Tehri,66,13,29,Uttarakhand
0,11,11,0,0,0,0,LAMBGAON (NP),0,Tehri,11,11,0,Uttarakhand
0,38,38,0,0,0,0,Muni Ki Reti (NP),38,Tehri,39,9,1,Uttarakhand
0,34,34,0,18,0,0,Narendranagar (NPP),16,Tehri,53,0,1,Uttarakhand
0,33,29,0,6,4,0,Tehri (MB),25,Tehri,43,27,0,Uttarakhand
0,179,167,0,19,0,0,Bazpur (NPP),18,Udhamsingh Nagar,198,60,0,Uttarakhand
0,866,127,1,21,0,1,Dineshpur (NP),2,Udhamsingh Nagar,891,89,3,Uttarakhand
1,39,39,0,79,4,0,Gadarpur (NPP),0,Udhamsingh Nagar,139,4,17,Uttarakhand
0,194,194,0,0,0,0,GULARBHOJ (NP),0,Udhamsingh Nagar,194,194,0,Uttarakhand
3,203,203,0,1,2,1,Jaspur (NPP),135,Udhamsingh Nagar,252,190,46,Uttarakhand
2,104,103,0,98,0,2,Kashipur (NPP),114,Udhamsingh Nagar,331,64,129,Uttarakhand
0,15,15,0,0,0,0,Kela Khera (NP),0,Udhamsingh Nagar,17,7,2,Uttarakhand
0,52,52,1,158,0,0,Khatima (NPP),2,Udhamsingh Nagar,211,0,0,Uttarakhand
59,454,281,0,0,0,1,Kichha (NPP),158,Udhamsingh Nagar,481,143,27,Uttarakhand
0,52,50,0,46,0,0,Mahua Dabra Haripura (NP),0,Udhamsingh Nagar,111,50,13,Uttarakhand
1,116,116,0,20,0,0,Mahua Kheraganj (NP),25,Udhamsingh Nagar,141,103,5,Uttarakhand
0,57,57,0,1,0,0,NANAKMATTA (NP),0,Udhamsingh Nagar,58,57,0,Uttarakhand
114,198,26,3,621,0,1,Rudrapur (NPP),39,Udhamsingh Nagar,824,20,2,Uttarakhand
1,11,11,2,3,0,0,Shaktigarh (NP),1,Udhamsingh Nagar,16,9,0,Uttarakhand
9,40,39,1,24,2,5,Sitarganj (NPP),18,Udhamsingh Nagar,81,37,14,Uttarakhand
0,121,9,0,325,0,1,Sultanpur (NP),0,Udhamsingh Nagar,810,3,364,Uttarakhand
6,0,0,1,1077,14,0,Asansol (M Corp.),155,Barddhaman,2325,0,1233,West Bengal
0,0,0,0,1710,10,0,Barddhaman (M),339,Barddhaman,1720,0,0,West Bengal
0,0,0,0,3,0,0,Dainhat (M),0,Barddhaman,3,0,0,West Bengal
0,0,0,1,535,0,0,Durgapur (M Corp.),10,Barddhaman,536,0,0,West Bengal
0,0,0,3,738,3,0,Guskara (M),739,Barddhaman,744,0,0,West Bengal
0,0,0,0,216,7,0,Jamuria (M),2,Barddhaman,223,0,0,West Bengal
0,54,54,0,15,1,3,Kalna (M),0,Barddhaman,74,1,4,West Bengal
0,0,0,3,276,218,0,Katwa (M),0,Barddhaman,497,0,0,West Bengal
2,0,0,0,203,10,0,Kulti (M),0,Barddhaman,213,0,0,West Bengal
0,0,0,2,1061,1,0,Memari (M),0,Barddhaman,1064,0,0,West Bengal
1,0,0,0,41,0,0,Raniganj (M),2,Barddhaman,41,0,0,West Bengal
2,0,0,8,1194,2048,1,Bolpur (M),1,Birbhum,3250,0,0,West Bengal
0,0,0,0,15,13,0,Dubrajpur (M),0,Birbhum,28,0,0,West Bengal
1,0,0,4,542,2524,127,Nalhati (M),3,Birbhum,3070,0,0,West Bengal
0,0,0,12,1366,2295,1,Rampurhat (M),3,Birbhum,3673,0,0,West Bengal
0,0,0,1,53,575,2,Sainthia (M),0,Birbhum,629,0,0,West Bengal
0,0,0,1,40,85,0,Suri (M),1,Birbhum,126,0,0,West Bengal
1,0,0,1,129,25,0,Balurghat (M),2,Dakshin Dinajpur,155,0,0,West Bengal
0,0,0,0,0,0,0,Buniadpur,0,Dakshin Dinajpur,0,0,0,West Bengal
0,0,0,3,2514,672,0,Gangarampur (M),2,Dakshin Dinajpur,3189,0,0,West Bengal
0,0,0,0,7,1,0,Darjiling (M),0,Darjeeling,8,0,0,West Bengal
0,0,0,0,0,0,0,Jalpahar (CB),0,Darjeeling,0,0,0,West Bengal
0,0,0,0,6,0,0,Kalimpong (M),2,Darjeeling,6,0,0,West Bengal
0,0,0,0,2,0,1,Kurseong (M),0,Darjeeling,2,0,0,West Bengal
0,0,0,0,0,0,0,Lebong (CB),0,Darjeeling,0,0,0,West Bengal
0,0,0,2,9,0,0,Mirik (NA),0,Darjeeling,11,0,0,West Bengal
0,0,0,0,25,0,0,Siliguri (M Corp.),0,Darjeeling,25,0,0,West Bengal
0,0,0,0,3,3,0,Bally (M),0,Haora,6,0,0,West Bengal
0,0,0,1,7,2,0,Haora (M Corp),0,Haora,10,0,0,West Bengal
0,0,0,0,414,61,1,Uluberia (M),0,Haora,475,0,0,West Bengal
0,300,0,0,1484,16,0,Arambag (M),1555,Hugli-Chinsurah,1800,0,0,West Bengal
0,0,0,0,6,1,0,Baidyabati (M),1,Hugli-Chinsurah,7,0,0,West Bengal
2,0,0,0,421,0,0,Bansberia (M),410,Hugli-Chinsurah,421,0,0,West Bengal
0,0,0,0,2,0,0,Bhadreswar (M),0,Hugli-Chinsurah,2,0,0,West Bengal
4,443,0,1,652,0,0,Champdani (M),926,Hugli-Chinsurah,1096,0,0,West Bengal
0,0,0,1,95,4,0,Chandannagar (M Corp),1,Hugli-Chinsurah,100,0,0,West Bengal
0,0,0,0,912,0,0,Dankuni (M),902,Hugli-Chinsurah,912,0,0,West Bengal
1,0,0,1,372,2,1,Hugli-Chinsurah (M),8,Hugli-Chinsurah,375,0,0,West Bengal
0,0,0,0,3,0,0,Konnagar (M),0,Hugli-Chinsurah,3,0,0,West Bengal
0,0,0,0,20,0,0,Rishra (M),0,Hugli-Chinsurah,20,0,0,West Bengal
0,497,495,0,21,1,0,Serampore (M),496,Hugli-Chinsurah,519,237,0,West Bengal
0,509,507,0,4,0,0,Tarakeswar (M),491,Hugli-Chinsurah,515,493,2,West Bengal
0,0,0,0,86,0,0,Uttarpara Kotrung (M),0,Hugli-Chinsurah,86,0,0,West Bengal
1,0,0,5,66,5,2,Alipurduar (M),1,Jalpaiguri,76,0,0,West Bengal
0,0,0,0,6,1,0,Dhupguri (M),0,Jalpaiguri,7,0,0,West Bengal
0,0,0,0,82,3,3,Jalpaiguri (M),0,Jalpaiguri,85,0,0,West Bengal
0,0,0,0,2,0,0,Mal (M),1,Jalpaiguri,2,0,0,West Bengal
0,1094,1094,0,1,3,1,Dinhata (M),1026,Koch Bihar,1110,1085,12,West Bengal
0,206,0,0,0,0,0,Haldibari (M),206,Koch Bihar,206,0,0,West Bengal
0,0,0,1,619,44,0,Koch Bihar (M),103,Koch Bihar,664,0,0,West Bengal
0,641,0,2,777,1,1,Mathabhanga (M),1093,Koch Bihar,1421,0,0,West Bengal
1,212,16,0,14,1,2,Mekliganj (M),83,Koch Bihar,227,16,0,West Bengal
0,535,535,0,0,1,0,Tufanganj (M),531,Koch Bihar,552,535,16,West Bengal
3,0,0,3,46,6,4,Kolkata (M Corp.),3,Kolkata,55,0,0,West Bengal
0,0,0,2,461,120,3,English Bazar (M),2,Malda,583,0,0,West Bengal
0,0,0,2,1453,2046,4,Old Malda (M),1,Malda,3501,0,0,West Bengal
0,2,1,0,25,4,0,Beldanga (M),1,Murshidabad,31,1,0,West Bengal
0,0,0,0,25,113,1,Berhampore (M),1,Murshidabad,138,0,0,West Bengal
2,0,0,3,563,186,5,Dhulian (M),1,Murshidabad,752,0,0,West Bengal
0,0,0,0,0,0,0,Domkal,0,Murshidabad,0,0,0,West Bengal
1,0,0,2,39,18,3,Jangipur (M),0,Murshidabad,59,0,0,West Bengal
1,0,0,1,24,2,0,Jiaganj-Azimganj (M),0,Murshidabad,27,0,0,West Bengal
1,0,0,3,976,1156,0,Kandi (M),4,Murshidabad,2135,0,0,West Bengal
1,0,0,3,712,183,3,Murshidabad (M),1,Murshidabad,898,0,0,West Bengal
0,0,0,0,1333,0,0,Birnagar (M),1328,Nadia,1333,0,0,West Bengal
0,0,0,0,320,378,0,Chakdaha (M),285,Nadia,698,0,0,West Bengal
0,0,0,0,646,1,0,Cooper's Camp (NA),594,Nadia,647,0,0,West Bengal
0,1,0,0,489,0,0,Gayespur (M),477,Nadia,490,0,0,West Bengal
0,0,0,0,0,0,0,Haringhata,0,Nadia,0,0,0,West Bengal
0,0,0,0,343,1,0,Kalyani (M),341,Nadia,344,0,0,West Bengal
1,0,0,0,1632,44,1,Krishnanagar (M),1568,Nadia,1676,0,0,West Bengal
0,82,80,0,2185,4,0,Nabadwip (M),2247,Nadia,2271,0,0,West Bengal
0,0,0,1,7,3,0,Ranaghat (M),3,Nadia,11,0,0,West Bengal
1,0,0,1,1934,1,0,Santipur (M),1904,Nadia,1936,0,0,West Bengal
0,0,0,0,0,1,0,Taherpur (NA),0,Nadia,1,0,0,West Bengal
0,0,0,1,1954,684,0,Ashokenagar Kalyangarh (M),1,North 24 Paraganas,2639,0,0,West Bengal
0,1206,1206,0,3,4,0,Baduria (M),1209,North 24 Paraganas,2243,0,1030,West Bengal
0,0,0,0,1284,5,0,Baranagar (M),1,North 24 Paraganas,1289,0,0,West Bengal
0,0,0,0,1237,63,0,Barasat (M),1,North 24 Paraganas,1300,0,0,West Bengal
1,98,98,0,544,4,0,Barrackpore (M),96,North 24 Paraganas,646,84,0,West Bengal
0,0,0,0,0,0,0,Barrackpur Cantonment (CB),0,North 24 Paraganas,0,0,0,West Bengal
0,1873,1847,2,2762,6061,1,Basirhat (M),49,North 24 Paraganas,10698,1303,0,West Bengal
2,1755,1755,2,1048,8,1,Bhatpara (M),1210,North 24 Paraganas,2887,2,74,West Bengal
0,0,0,0,423,2,0,Bidhannagar (M),1,North 24 Paraganas,425,0,0,West Bengal
1,2540,258,1,634,0,0,Bongaon (M),351,North 24 Paraganas,3193,0,18,West Bengal
0,126,126,0,104,7,0,Dum Dum (M),1,North 24 Paraganas,237,0,0,West Bengal
1,0,0,0,168,1,0,Garulia (M),0,North 24 Paraganas,169,0,0,West Bengal
0,689,689,0,49,1,0,Gobardanga (M),0,North 24 Paraganas,1281,582,542,West Bengal
0,1842,1822,0,407,5,0,Habra (M),2081,North 24 Paraganas,2275,155,21,West Bengal
0,184,184,0,1,0,0,Halisahar (M),168,North 24 Paraganas,288,53,103,West Bengal
0,0,0,0,153,1,0,Kamarhati (M),0,North 24 Paraganas,154,0,0,West Bengal
0,443,305,0,724,0,1,Kanchrapara (M),40,North 24 Paraganas,1173,13,6,West Bengal
0,0,0,0,418,2,0,Khardah (M),0,North 24 Paraganas,420,0,0,West Bengal
1,0,0,0,914,4,0,Madhyamgram (M),0,North 24 Paraganas,920,0,2,West Bengal
0,0,0,0,0,0,0,Nabadiganta Industrial Township (ITS),0,North 24 Paraganas,0,0,0,West Bengal
2,1532,1506,0,27,0,0,Naihati (M),257,North 24 Paraganas,1595,334,36,West Bengal
0,662,348,0,437,1,0,New Barrackpore (M),105,North 24 Paraganas,1102,298,2,West Bengal
0,477,147,0,0,0,0,North Barrackpore (M),0,North 24 Paraganas,504,96,27,West Bengal
0,1938,1938,0,5,0,0,North DumDum (M),0,North 24 Paraganas,1949,0,6,West Bengal
0,1086,870,4,45,0,0,Panihati (M),0,North 24 Paraganas,1135,357,0,West Bengal
0,0,0,1,1266,14,0,Rajarhat Gopalpur (M),1,North 24 Paraganas,1281,0,0,West Bengal
0,67,0,0,2031,4,0,South DumDum (M),2,North 24 Paraganas,2113,0,11,West Bengal
1,0,0,4,2488,6475,0,Taki (M),4,North 24 Paraganas,8967,0,0,West Bengal
0,0,0,0,222,4,0,Titagarh (M),0,North 24 Paraganas,226,0,0,West Bengal
1,0,0,0,6,5,2,Chandrakona (M),2,Paschim Medinipur,11,0,0,West Bengal
0,0,0,1,127,0,1,Ghatal (M),1,Paschim Medinipur,128,0,0,West Bengal
0,0,0,0,23,17,0,Jhargram (M),0,Paschim Medinipur,40,0,0,West Bengal
0,0,0,2,106,28,2,Kharagpur (M),2,Paschim Medinipur,136,0,0,West Bengal
0,0,0,0,0,0,0,Kharar (M),0,Paschim Medinipur,0,0,0,West Bengal
0,0,0,0,3,0,0,Kshirpai (M),0,Paschim Medinipur,3,0,0,West Bengal
